x,y,z,time
0.4851, 0.4695, 0.5945, 1702254962.4816687
0.4851, 0.4714, 0.5936, 1702254962.5816755
0.4841, 0.4714, 0.5936, 1702254962.6817803
0.4851, 0.4714, 0.5936, 1702254962.7816174
0.4851, 0.4704, 0.5926, 1702254962.8816338
0.4851, 0.4714, 0.5936, 1702254962.9818451
0.4851, 0.4704, 0.5936, 1702254963.0822778
0.4851, 0.4714, 0.5936, 1702254963.1818037
0.4851, 0.4714, 0.5936, 1702254963.2820144
0.4851, 0.4704, 0.5936, 1702254963.3816
0.4851, 0.4714, 0.5926, 1702254963.4817076
0.4851, 0.4714, 0.5936, 1702254963.5816436
0.4851, 0.4714, 0.5936, 1702254963.6816616
0.4851, 0.4704, 0.5936, 1702254963.781666
0.4851, 0.4704, 0.5936, 1702254963.8816433
0.4851, 0.4714, 0.5936, 1702254963.9816723
0.4851, 0.4714, 0.5926, 1702254964.0816298
0.4871, 0.4636, 0.5916, 1702254964.181937
0.4841, 0.4714, 0.5965, 1702254964.281953
0.4861, 0.4695, 0.5936, 1702254964.3816714
0.4851, 0.4714, 0.5926, 1702254964.4820366
0.4851, 0.4714, 0.5936, 1702254964.5820763
0.4851, 0.4714, 0.5926, 1702254964.6816247
0.4851, 0.4704, 0.5926, 1702254964.7816627
0.4841, 0.4714, 0.5926, 1702254964.8817112
0.4841, 0.4714, 0.5936, 1702254964.981679
0.4851, 0.4714, 0.5936, 1702254965.081664
0.4851, 0.4704, 0.5936, 1702254965.181804
0.4851, 0.4704, 0.5936, 1702254965.2815673
0.4851, 0.4714, 0.5926, 1702254965.381711
0.4851, 0.4714, 0.5936, 1702254965.481797
0.4851, 0.4704, 0.5936, 1702254965.5818107
0.4851, 0.4714, 0.5926, 1702254965.681829
0.4841, 0.4714, 0.5926, 1702254965.7819335
0.4851, 0.4714, 0.5926, 1702254965.8817062
0.4851, 0.4714, 0.5926, 1702254965.9816294
0.4851, 0.4714, 0.5936, 1702254966.0817378
0.4851, 0.4714, 0.5936, 1702254966.1816163
0.4851, 0.4714, 0.5936, 1702254966.2817242
0.4851, 0.4704, 0.5936, 1702254966.38162
0.4851, 0.4704, 0.5936, 1702254966.4816768
0.4851, 0.4704, 0.5936, 1702254966.5816028
0.4851, 0.4714, 0.5936, 1702254966.6817722
0.4851, 0.4734, 0.5936, 1702254966.7819638
0.4841, 0.4685, 0.5916, 1702254966.8816197
0.4871, 0.4714, 0.5936, 1702254966.9820921
0.4861, 0.4675, 0.5926, 1702254967.081907
0.4802, 0.4695, 0.5896, 1702254967.1817198
0.4831, 0.4665, 0.5896, 1702254967.2816818
0.4792, 0.4763, 0.5916, 1702254967.3816762
0.4841, 0.4685, 0.5936, 1702254967.4816554
0.4861, 0.4695, 0.5955, 1702254967.5816436
0.4861, 0.4685, 0.5916, 1702254967.6816535
0.488 , 0.4802, 0.5926, 1702254967.7816556
0.489 , 0.4744, 0.5936, 1702254967.8816884
0.4871, 0.4763, 0.5994, 1702254967.981904
0.489 , 0.4714, 0.5926, 1702254968.0821753
0.4851, 0.4685, 0.5906, 1702254968.1815963
0.4851, 0.4695, 0.5906, 1702254968.2820802
0.4851, 0.4695, 0.5906, 1702254968.381682
0.4841, 0.4714, 0.5926, 1702254968.4816682
0.4851, 0.4714, 0.5936, 1702254968.581627
0.4851, 0.4714, 0.5936, 1702254968.6816986
0.4851, 0.4714, 0.5926, 1702254968.7817929
0.4851, 0.4704, 0.5936, 1702254968.8816357
0.4851, 0.4714, 0.5926, 1702254968.9816477
0.4851, 0.4704, 0.5926, 1702254969.081666
0.4841, 0.4714, 0.5936, 1702254969.181883
0.4851, 0.4714, 0.5926, 1702254969.2820325
0.4851, 0.4704, 0.5926, 1702254969.3816562
0.4841, 0.4704, 0.5926, 1702254969.48205
0.4841, 0.4714, 0.5926, 1702254969.5819075
0.4851, 0.4714, 0.5916, 1702254969.6816459
0.4851, 0.4714, 0.5936, 1702254969.7815533
0.4851, 0.4695, 0.5936, 1702254969.8816602
0.488 , 0.4626, 0.5975, 1702254969.9816675
0.489 , 0.4597, 0.6063, 1702254970.0816586
0.4861, 0.4626, 0.5906, 1702254970.1818452
0.4763, 0.4636, 0.5848, 1702254970.2815535
0.4812, 0.4607, 0.5867, 1702254970.3817394
0.4812, 0.4577, 0.6004, 1702254970.4820373
0.4773, 0.4646, 0.5633, 1702254970.5819337
0.4724, 0.4675, 0.576 , 1702254970.6816993
0.4783, 0.4714, 0.6043, 1702254970.782049
0.4773, 0.4783, 0.5994, 1702254970.8821735
0.4773, 0.4744, 0.6004, 1702254970.9818308
0.4744, 0.4734, 0.6043, 1702254971.081825
0.4792, 0.4744, 0.6082, 1702254971.1817262
0.4714, 0.4792, 0.6014, 1702254971.2816749
0.4783, 0.4763, 0.5818, 1702254971.3818657
0.4773, 0.4763, 0.5955, 1702254971.481662
0.4734, 0.4763, 0.6014, 1702254971.581623
0.4773, 0.4773, 0.5857, 1702254971.6818616
0.4773, 0.4802, 0.5994, 1702254971.7820277
0.4783, 0.4792, 0.6004, 1702254971.8823197
0.4831, 0.4763, 0.5906, 1702254971.9817352
0.4812, 0.4783, 0.5955, 1702254972.0817258
0.4851, 0.4773, 0.5936, 1702254972.1817691
0.4861, 0.4763, 0.6776, 1702254972.281655
0.4831, 0.4714, 0.5975, 1702254972.381735
0.4831, 0.4724, 0.5896, 1702254972.4816523
0.4831, 0.4734, 0.5936, 1702254972.5816004
0.4851, 0.4704, 0.5926, 1702254972.6817539
0.4841, 0.4704, 0.5936, 1702254972.7816944
0.4841, 0.4714, 0.5936, 1702254972.881684
0.4851, 0.4704, 0.5896, 1702254972.9816341
0.4851, 0.4714, 0.5945, 1702254973.0818536
0.4851, 0.4714, 0.5926, 1702254973.1819587
0.4851, 0.4704, 0.5936, 1702254973.2816322
0.4841, 0.4714, 0.5936, 1702254973.3817072
0.4841, 0.4714, 0.5926, 1702254973.4820812
0.4841, 0.4714, 0.5936, 1702254973.5819852
0.4851, 0.4714, 0.5936, 1702254973.6819792
0.4851, 0.4714, 0.5926, 1702254973.7816916
0.4841, 0.4714, 0.5926, 1702254973.8816543
0.4841, 0.4714, 0.5926, 1702254973.9816694
0.4841, 0.4704, 0.5936, 1702254974.0817058
0.4851, 0.4714, 0.5936, 1702254974.181707
0.4851, 0.4714, 0.5926, 1702254974.2818832
0.4841, 0.4714, 0.5936, 1702254974.3817782
0.4851, 0.4714, 0.5926, 1702254974.4816554
0.4851, 0.4704, 0.5926, 1702254974.5816643
0.4841, 0.4714, 0.5936, 1702254974.6818714
0.4841, 0.4714, 0.5926, 1702254974.781678
0.4851, 0.4714, 0.5936, 1702254974.881754
0.4851, 0.4714, 0.5936, 1702254974.9817603
0.4851, 0.4704, 0.5926, 1702254975.081734
0.4851, 0.4704, 0.5926, 1702254975.1817453
0.4841, 0.4714, 0.5945, 1702254975.2817779
0.4841, 0.4714, 0.5936, 1702254975.3816655
0.4851, 0.4704, 0.5936, 1702254975.4815855
0.4851, 0.4704, 0.5926, 1702254975.58163
0.4851, 0.4714, 0.5926, 1702254975.6817722
0.4851, 0.4714, 0.5906, 1702254975.7816563
0.4841, 0.4714, 0.5936, 1702254975.8818183
0.4851, 0.4704, 0.5936, 1702254975.981718
0.4841, 0.4714, 0.5926, 1702254976.0817835
0.4851, 0.4714, 0.5926, 1702254976.1820333
0.4841, 0.4704, 0.5945, 1702254976.2816713
0.4851, 0.4714, 0.5936, 1702254976.3819408
0.4851, 0.4714, 0.5926, 1702254976.4816747
0.4851, 0.4714, 0.5926, 1702254976.581577
0.4851, 0.4714, 0.5936, 1702254976.6816826
0.4851, 0.4714, 0.5936, 1702254976.7816234
0.4851, 0.4714, 0.5936, 1702254976.8817732
0.4841, 0.4714, 0.5936, 1702254976.9820132
0.4841, 0.4704, 0.5936, 1702254977.0816398
0.4851, 0.4714, 0.5926, 1702254977.1816282
0.4851, 0.4714, 0.5926, 1702254977.2815642
0.4841, 0.4714, 0.5926, 1702254977.3816614
0.4841, 0.4714, 0.5936, 1702254977.4816966
0.4841, 0.4714, 0.5936, 1702254977.5816336
0.4851, 0.4714, 0.5926, 1702254977.681644
0.4851, 0.4714, 0.5926, 1702254977.7818916
0.4851, 0.4714, 0.5926, 1702254977.8816743
