x,y,z,time
0.4851, 0.4704, 0.5926, 1702250926.0158024
0.4851, 0.4714, 0.5936, 1702250926.2070181
0.4851, 0.4714, 0.5926, 1702250926.2176754
0.4841, 0.4714, 0.5926, 1702250926.315727
0.4851, 0.4714, 0.5936, 1702250926.4157577
0.4841, 0.4714, 0.5926, 1702250926.5156286
0.4851, 0.4714, 0.5936, 1702250926.6156635
0.4851, 0.4714, 0.5926, 1702250926.7156827
0.4851, 0.4714, 0.5926, 1702250926.8159268
0.4841, 0.4714, 0.5926, 1702250926.9157434
0.4851, 0.4714, 0.5926, 1702250927.015632
0.4851, 0.4714, 0.5926, 1702250927.115742
0.4851, 0.4714, 0.5926, 1702250927.215605
0.4851, 0.4714, 0.5926, 1702250927.3157074
0.4851, 0.4714, 0.5926, 1702250927.415677
0.4851, 0.4714, 0.5926, 1702250927.5157096
0.4841, 0.4714, 0.5936, 1702250927.6155732
0.4851, 0.4704, 0.5926, 1702250927.7154706
0.4841, 0.4714, 0.5926, 1702250927.8155355
0.4851, 0.4714, 0.5926, 1702250927.9157534
0.4841, 0.4714, 0.5936, 1702250928.0157878
0.4851, 0.4714, 0.5936, 1702250928.1156766
0.4851, 0.4714, 0.5926, 1702250928.2179012
0.4851, 0.4704, 0.5926, 1702250928.315611
0.4851, 0.4714, 0.5926, 1702250928.4159946
0.4851, 0.4714, 0.5936, 1702250928.5159009
0.4851, 0.4714, 0.5926, 1702250928.6155572
0.4851, 0.4714, 0.5926, 1702250928.7155643
0.4851, 0.4714, 0.5926, 1702250928.8155313
0.4851, 0.4714, 0.5926, 1702250928.9155734
0.4851, 0.4704, 0.5936, 1702250929.01563
0.4851, 0.4704, 0.5936, 1702250929.1157727
0.4841, 0.4714, 0.5926, 1702250929.215531
0.4851, 0.4714, 0.5926, 1702250929.3156524
0.4851, 0.4714, 0.5926, 1702250929.4157832
0.4841, 0.4714, 0.5936, 1702250929.5156286
0.4851, 0.4714, 0.5936, 1702250929.6155157
0.4851, 0.4714, 0.5936, 1702250929.7158763
0.4851, 0.4714, 0.5926, 1702250929.8154297
0.4851, 0.4714, 0.5926, 1702250929.915558
0.4841, 0.4714, 0.5936, 1702250930.015583
0.4851, 0.4714, 0.5936, 1702250930.1156704
0.4851, 0.4714, 0.5926, 1702250930.2157247
0.4724, 0.4734, 0.6014, 1702250930.3156035
0.4734, 0.4695, 0.5877, 1702250930.4155436
0.4753, 0.4734, 0.5515, 1702250930.515512
0.4861, 0.4773, 0.574 ,1702250930.6155214
0.4792, 0.4617, 0.5906, 1702250930.7157557
0.491 , 0.4831, 0.5818, 1702250930.8156416
0.4861, 0.4704, 0.5994, 1702250930.9156673
0.4841, 0.4685, 0.5828, 1702250931.0160356
0.4812, 0.4704, 0.575 ,1702250931.1155581
0.4812, 0.4675, 0.5994, 1702250931.2155895
0.491 , 0.4685, 0.575 ,1702250931.3155499
0.4841, 0.4773, 0.5818, 1702250931.4155338
0.4861, 0.4675, 0.6063, 1702250931.5156212
0.4841, 0.4704, 0.5799, 1702250931.615593
0.4851, 0.4744, 0.5984, 1702250931.7155256
0.4861, 0.4734, 0.5662, 1702250931.8156004
0.4812, 0.4675, 0.5779, 1702250931.9157941
0.4783, 0.4802, 0.573 ,1702250932.015705
0.4871, 0.49  , 0.5867, 1702250932.115564
0.4831, 0.4773, 0.6063, 1702250932.216026
0.4812, 0.4802, 0.5789, 1702250932.3159847
0.4861, 0.4685, 0.5984, 1702250932.4158201
0.4822, 0.4734, 0.5779, 1702250932.5155604
0.4841, 0.4822, 0.6033, 1702250932.6155992
0.4851, 0.4656, 0.6014, 1702250932.7155445
0.491 , 0.4617, 0.5926, 1702250932.8155446
0.4822, 0.4704, 0.5877, 1702250932.9155567
0.4871, 0.4617, 0.6092, 1702250933.0155337
0.4831, 0.4734, 0.5681, 1702250933.1155632
0.4861, 0.4577, 0.5916, 1702250933.2157228
0.488 , 0.4734, 0.5906, 1702250933.315918
0.4841, 0.4646, 0.5857, 1702250933.415551
0.4841, 0.4665, 0.5789, 1702250933.515516
0.4871, 0.4714, 0.5779, 1702250933.6155899
0.4861, 0.4597, 0.6082, 1702250933.7155876
0.4841, 0.4792, 0.6444, 1702250933.815622
0.4831, 0.4665, 0.6111, 1702250933.9155707
0.4861, 0.4577, 0.5926, 1702250934.0156243
0.4812, 0.4695, 0.5603, 1702250934.115559
0.4871, 0.4665, 0.6063, 1702250934.2155225
0.488 , 0.4783, 0.576 , 1702250934.3155525
0.4831, 0.4783, 0.6238, 1702250934.4155717
0.4871, 0.4646, 0.6082, 1702250934.515599
0.4861, 0.4714, 0.5691, 1702250934.615969
0.4851, 0.4734, 0.619 , 1702250934.7156467
0.4851, 0.4734, 0.5633, 1702250934.8160198
0.4812, 0.4841, 0.576 , 1702250934.916002
0.4871, 0.4597, 0.5887, 1702250935.0158288
0.489 , 0.4714, 0.5838, 1702250935.115588
0.4831, 0.4646, 0.5916, 1702250935.2155912
0.4831, 0.4792, 0.5975, 1702250935.3155625
0.4802, 0.4734, 0.6014, 1702250935.4155493
0.4871, 0.4636, 0.6053, 1702250935.515604
0.4812, 0.4734, 0.576 , 1702250935.6155157
0.4851, 0.4695, 0.5945, 1702250935.7155821
0.4851, 0.4695, 0.5975, 1702250935.8160677
0.4871, 0.4734, 0.5984, 1702250935.9163158
0.4812, 0.4656, 0.6004, 1702250936.0156784
0.4812, 0.4724, 0.5701, 1702250936.1157348
0.4812, 0.4704, 0.6043, 1702250936.2155674
0.5056, 0.4685, 0.5828, 1702250936.315986
0.4949, 0.4773, 0.5848, 1702250936.415892
0.4919, 0.4714, 0.5867, 1702250936.515583
0.4822, 0.4734, 0.5799, 1702250936.6155896
0.4822, 0.4734, 0.6014, 1702250936.7157393
0.4822, 0.4734, 0.5818, 1702250936.8159153
0.4851, 0.4724, 0.5916, 1702250936.915641
0.4841, 0.4714, 0.5936, 1702250937.0155249
0.4841, 0.4714, 0.5926, 1702250937.1156197
0.4841, 0.4714, 0.5926, 1702250937.215773
0.4851, 0.4714, 0.5926, 1702250937.3157914
0.4851, 0.4714, 0.5926, 1702250937.415589
0.4851, 0.4704, 0.5926, 1702250937.515547
0.4851, 0.4714, 0.5926, 1702250937.6157274
0.4851, 0.4714, 0.5926, 1702250937.7155344
0.4851, 0.4714, 0.5936, 1702250937.8156416
0.4841, 0.4714, 0.5926, 1702250937.9155352
0.4841, 0.4714, 0.5936, 1702250938.0154712
0.4851, 0.4714, 0.5926, 1702250938.1155236
0.4851, 0.4714, 0.5926, 1702250938.215537
0.4851, 0.4714, 0.5926, 1702250938.3155458
0.4851, 0.4714, 0.5936, 1702250938.415488
0.4851, 0.4714, 0.5936, 1702250938.5155773
0.4851, 0.4714, 0.5926, 1702250938.6156409
0.4851, 0.4714, 0.5936, 1702250938.715706
0.4851, 0.4714, 0.5936, 1702250938.8158875
0.4841, 0.4714, 0.5926, 1702250938.915997
0.4851, 0.4714, 0.5926, 1702250939.0159762
0.4851, 0.4714, 0.5926, 1702250939.1156263
0.4851, 0.4714, 0.5926, 1702250939.2155678
0.4851, 0.4714, 0.5936, 1702250939.315601
0.4851, 0.4714, 0.5936, 1702250939.4155147
0.4851, 0.4704, 0.5926, 1702250939.5156028
0.4851, 0.4714, 0.5926, 1702250939.6155457
0.4841, 0.4714, 0.5936, 1702250939.7157197
0.4851, 0.4714, 0.5936, 1702250939.8158216
0.4841, 0.4714, 0.5936, 1702250939.9160857
0.4851, 0.4714, 0.5936, 1702250940.01581
0.4851, 0.4714, 0.5926, 1702250940.1157923
0.4851, 0.4714, 0.5926, 1702250940.215532
0.4851, 0.4714, 0.5926, 1702250940.3160424
0.4841, 0.4714, 0.5926, 1702250940.4155436
0.4851, 0.4714, 0.5936, 1702250940.5156329
0.4851, 0.4704, 0.5936, 1702250940.6157424
0.4851, 0.4714, 0.5936, 1702250940.715541
0.4851, 0.4714, 0.5936, 1702250940.8155282
0.4851, 0.4714, 0.5936, 1702250940.9154806
0.4851, 0.4714, 0.5926, 1702250941.0154994
0.4851, 0.4714, 0.5926, 1702250941.1156013
0.4851, 0.4714, 0.5926, 1702250941.215539
0.4851, 0.4714, 0.5926, 1702250941.315852
0.4841, 0.4714, 0.5936, 1702250941.415607
0.4851, 0.4714, 0.5936, 1702250941.516045
0.4851, 0.4714, 0.5936, 1702250941.6156013
0.4851, 0.4714, 0.5926, 1702250941.7155588
0.4841, 0.4714, 0.5926, 1702250941.8155658
0.4841, 0.4704, 0.5945, 1702250941.9156544
0.4851, 0.4714, 0.5926, 1702250942.015524
0.4851, 0.4714, 0.5926, 1702250942.1156862
0.4851, 0.4714, 0.5926, 1702250942.2155612
0.4851, 0.4714, 0.5926, 1702250942.3157961
0.4851, 0.4714, 0.5936, 1702250942.4155908
0.4841, 0.4714, 0.5936, 1702250942.5160449
0.4851, 0.4714, 0.5926, 1702250942.6160202
0.4851, 0.4714, 0.5926, 1702250942.7157764
