x,y,z,time
0.4851, 0.4704, 0.5926, 1702255108.3851104
0.4851, 0.4704, 0.5926, 1702255108.485135
0.4851, 0.4704, 0.5936, 1702255108.5851161
0.4851, 0.4704, 0.5936, 1702255108.6855767
0.4851, 0.4714, 0.5926, 1702255108.785464
0.4851, 0.4704, 0.5926, 1702255108.885107
0.4851, 0.4704, 0.5936, 1702255108.9857259
0.4851, 0.4704, 0.5936, 1702255109.0854971
0.4851, 0.4704, 0.5926, 1702255109.18537
0.4851, 0.4704, 0.5936, 1702255109.285102
0.4841, 0.4704, 0.5936, 1702255109.3851805
0.4851, 0.4704, 0.5936, 1702255109.4850833
0.4851, 0.4704, 0.5936, 1702255109.5851188
0.4851, 0.4704, 0.5936, 1702255109.685258
0.4841, 0.4704, 0.5936, 1702255109.7851076
0.4841, 0.4704, 0.5936, 1702255109.8851342
0.4841, 0.4704, 0.5936, 1702255109.9854424
0.4851, 0.4704, 0.5936, 1702255110.0851254
0.4841, 0.4704, 0.5936, 1702255110.1850832
0.4851, 0.4704, 0.5916, 1702255110.2856483
0.4841, 0.4714, 0.5916, 1702255110.3851094
0.4841, 0.4714, 0.5926, 1702255110.4851286
0.4841, 0.4704, 0.5936, 1702255110.585146
0.4851, 0.4704, 0.5936, 1702255110.6851037
0.4841, 0.4714, 0.5945, 1702255110.7852514
0.4851, 0.4704, 0.5926, 1702255110.885159
0.4851, 0.4704, 0.5926, 1702255110.98514
0.4851, 0.4704, 0.5926, 1702255111.0851827
0.4851, 0.4714, 0.5926, 1702255111.1855044
0.4929, 0.4704, 0.5975, 1702255111.285612
0.4919, 0.4753, 0.5887, 1702255111.3851228
0.5007, 0.4636, 0.5769, 1702255111.485673
0.49  , 0.4831, 0.5691, 1702255111.585595
0.491 , 0.4773, 0.5994, 1702255111.6852598
0.5046, 0.4763, 0.7206, 1702255111.7850904
0.49  , 0.4519, 0.5574, 1702255111.8851645
0.4626, 0.4597, 0.5398, 1702255111.9851098
0.4968, 0.4851, 0.7919, 1702255112.085137
0.4773, 0.4656, 0.5515, 1702255112.185212
0.4704, 0.5232, 0.4538, 1702255112.285137
0.4568, 0.49  , 0.6854, 1702255112.3851652
0.489 , 0.4822, 0.6297, 1702255112.4856107
0.4958, 0.4665, 0.6776, 1702255112.5854366
0.4822, 0.4548, 0.5076, 1702255112.6852055
0.5027, 0.4792, 0.5818, 1702255112.785564
0.4763, 0.4724, 0.5525, 1702255112.885151
0.4831, 0.4851, 0.7303, 1702255112.9851103
0.4812, 0.5125, 0.4841, 1702255113.085139
0.5242, 0.4333, 0.5691, 1702255113.1851265
0.4968, 0.4851, 0.6981, 1702255113.2851598
0.5173, 0.4079, 0.5828, 1702255113.3851306
0.4831, 0.4519, 0.5252, 1702255113.4851127
0.4607, 0.5261, 0.5398, 1702255113.5851207
0.4783, 0.5203, 0.7811, 1702255113.685256
0.4636, 0.5037, 0.6121, 1702255113.785455
0.4548, 0.5115, 0.5203, 1702255113.8851838
0.488 , 0.4167, 0.5291, 1702255113.985667
0.5076, 0.4265, 0.6248, 1702255114.0854578
0.5154, 0.4089, 0.5594, 1702255114.1852643
0.4919, 0.5603, 0.7792, 1702255114.2851198
0.4831, 0.5388, 0.5525, 1702255114.3851461
0.5437, 0.2594, 0.6502, 1702255114.4851494
0.4431, 0.4792, 0.7352, 1702255114.5850985
0.4939, 0.5095, 0.6287, 1702255114.685245
0.4851, 0.5027, 0.3835, 1702255114.7851086
0.4949, 0.4831, 0.7147, 1702255114.8851974
0.4255, 0.3639, 0.19  , 1702255114.985423
0.5115, 0.4675, 0.6043, 1702255115.0858707
0.4704, 0.5095, 0.6219, 1702255115.1851156
0.4636, 0.53  , 0.4333, 1702255115.2855806
0.4773, 0.4929, 0.6483, 1702255115.385142
0.4871, 0.4802, 0.7333, 1702255115.485123
0.4871, 0.4958, 0.4362, 1702255115.5851243
0.4978, 0.4568, 0.8105, 1702255115.6850321
0.4939, 0.4587, 0.5398, 1702255115.785187
