x,y,z,time
0.4851, 0.4704, 0.5926, 1702256222.872245
0.4851, 0.4704, 0.5926, 1702256223.064115
0.4851, 0.4704, 0.5926, 1702256223.0753877
0.4851, 0.4704, 0.5936, 1702256223.1721473
0.4851, 0.4714, 0.5936, 1702256223.272097
0.4851, 0.4704, 0.5936, 1702256223.3719954
0.4851, 0.4704, 0.5926, 1702256223.472092
0.4851, 0.4695, 0.5945, 1702256223.5722275
0.4851, 0.4704, 0.5936, 1702256223.672496
0.4851, 0.4704, 0.5936, 1702256223.7724397
0.4851, 0.4714, 0.5926, 1702256223.8724833
0.4851, 0.4704, 0.5936, 1702256223.9722643
0.4851, 0.4704, 0.5936, 1702256224.0720549
0.4851, 0.4704, 0.5936, 1702256224.1720867
0.4841, 0.4714, 0.5936, 1702256224.2720304
0.4851, 0.4704, 0.5936, 1702256224.3720632
0.4841, 0.4704, 0.5926, 1702256224.4721234
0.4851, 0.4704, 0.5936, 1702256224.5722032
0.4851, 0.4714, 0.5926, 1702256224.6722004
0.4851, 0.4704, 0.5926, 1702256224.772119
0.4851, 0.4704, 0.5926, 1702256224.8720784
0.4851, 0.4704, 0.5926, 1702256224.9721098
0.4851, 0.4704, 0.5936, 1702256225.0724025
0.4851, 0.4704, 0.5936, 1702256225.17293
0.4851, 0.4704, 0.5926, 1702256225.2722971
0.4841, 0.4704, 0.5936, 1702256225.37244
0.4851, 0.4714, 0.5936, 1702256225.4722571
0.4851, 0.4704, 0.5936, 1702256225.5722682
0.4851, 0.4714, 0.5926, 1702256225.6720102
0.4851, 0.4704, 0.5936, 1702256225.7719767
0.4851, 0.4704, 0.5926, 1702256225.872129
0.4851, 0.4704, 0.5936, 1702256225.972073
0.4851, 0.4704, 0.5936, 1702256226.0719707
0.4851, 0.4714, 0.5926, 1702256226.1719158
0.4851, 0.4704, 0.5936, 1702256226.2719905
0.4851, 0.4704, 0.5926, 1702256226.3721025
0.4851, 0.4704, 0.5936, 1702256226.4721658
0.4841, 0.4704, 0.5936, 1702256226.572228
0.4851, 0.4704, 0.5926, 1702256226.671921
0.4851, 0.4704, 0.5936, 1702256226.7723274
0.4851, 0.4704, 0.5936, 1702256226.8720286
0.4851, 0.4704, 0.5926, 1702256226.9720008
0.4851, 0.4704, 0.5926, 1702256227.0719538
0.4851, 0.4704, 0.5936, 1702256227.1719828
0.4665, 0.5164, 0.5554, 1702256227.2720377
0.4763, 0.4949, 0.5818, 1702256227.371953
0.5066, 0.4665, 0.6766, 1702256227.471972
0.4773, 0.4851, 0.618 , 1702256227.5719264
0.4929, 0.4802, 0.6385, 1702256227.6720958
0.5007, 0.4831, 0.6971, 1702256227.772344
0.4665, 0.4558, 0.5838, 1702256227.8719838
0.4988, 0.4783, 0.6619, 1702256227.972438
0.4734, 0.4617, 0.5545, 1702256228.072287
0.4763, 0.5076, 0.4988, 1702256228.1720238
0.4871, 0.448 , 0.5769, 1702256228.2719984
0.4753, 0.4929, 0.6248, 1702256228.3720722
0.4851, 0.4871, 0.5164, 1702256228.472102
0.488 , 0.4529, 0.746 , 1702256228.5720077
0.489 , 0.4763, 0.6131, 1702256228.6719396
0.4958, 0.4587, 0.5936, 1702256228.771962
0.4978, 0.4392, 0.6698, 1702256228.8720026
0.491 , 0.4802, 0.5809, 1702256228.972135
0.4851, 0.4773, 0.6131, 1702256229.0722475
0.4724, 0.4851, 0.6473, 1702256229.1720567
0.4871, 0.4929, 0.6698, 1702256229.2722788
0.4724, 0.4597, 0.5564, 1702256229.3720095
