x,y,z,time
0.4841, 0.4714, 0.5936, 1702255605.477039
0.4841, 0.4704, 0.5936, 1702255605.6901424
0.4851, 0.4704, 0.5926, 1702255605.7768466
0.4851, 0.4704, 0.5936, 1702255605.8767426
0.4841, 0.4704, 0.5936, 1702255605.9767451
0.4851, 0.4704, 0.5926, 1702255606.0767372
0.4851, 0.4704, 0.5926, 1702255606.1768615
0.4841, 0.4704, 0.5936, 1702255606.2767673
0.4851, 0.4714, 0.5926, 1702255606.3767486
0.4841, 0.4704, 0.5926, 1702255606.4768753
0.4851, 0.4704, 0.5936, 1702255606.576776
0.4851, 0.4704, 0.5926, 1702255606.6767604
0.4841, 0.4704, 0.5926, 1702255606.7768688
0.4851, 0.4714, 0.5926, 1702255606.8767848
0.4851, 0.4704, 0.5936, 1702255606.9773707
0.4851, 0.4704, 0.5936, 1702255607.0771022
0.4851, 0.4704, 0.5936, 1702255607.1768491
0.4851, 0.4704, 0.5936, 1702255607.2769547
0.4851, 0.4714, 0.5936, 1702255607.37675
0.4851, 0.4704, 0.5936, 1702255607.4767575
0.4841, 0.4714, 0.5936, 1702255607.5768566
0.4851, 0.4704, 0.5936, 1702255607.6768591
0.4851, 0.4704, 0.5936, 1702255607.7769842
0.4851, 0.4714, 0.5926, 1702255607.8777857
0.4851, 0.4704, 0.5936, 1702255607.9769642
0.4851, 0.4704, 0.5936, 1702255608.0768313
0.4851, 0.4704, 0.5926, 1702255608.1770463
0.4851, 0.4714, 0.5926, 1702255608.2767794
0.4851, 0.4704, 0.5936, 1702255608.3768744
0.4851, 0.4704, 0.5936, 1702255608.4768362
0.4841, 0.4704, 0.5926, 1702255608.5771337
0.4851, 0.4704, 0.5936, 1702255608.676701
0.4851, 0.4704, 0.5936, 1702255608.7767363
0.4851, 0.4704, 0.5926, 1702255608.876753
0.4851, 0.4704, 0.5936, 1702255608.976772
0.4851, 0.4704, 0.5926, 1702255609.0766604
0.4851, 0.4704, 0.5936, 1702255609.1767788
0.4841, 0.4704, 0.5936, 1702255609.2767274
0.4851, 0.4704, 0.5926, 1702255609.3767989
0.4851, 0.4704, 0.5936, 1702255609.4766886
0.4851, 0.4704, 0.5936, 1702255609.5768342
0.4851, 0.4704, 0.5936, 1702255609.67682
0.4851, 0.4714, 0.5936, 1702255609.7771637
0.4851, 0.4704, 0.5926, 1702255609.8766797
0.4841, 0.4704, 0.5926, 1702255609.9767957
0.4851, 0.4704, 0.5936, 1702255610.0766976
0.4851, 0.4714, 0.5926, 1702255610.1767213
0.4548, 0.4851, 0.5476, 1702255610.276743
0.4646, 0.4871, 0.5672, 1702255610.376828
0.4929, 0.4343, 0.6004, 1702255610.4766932
0.4841, 0.5007, 0.5408, 1702255610.5766542
0.4695, 0.4802, 0.5515, 1702255610.676717
0.4792, 0.5027, 0.5105, 1702255610.7769778
0.489 , 0.4802, 0.6414, 1702255610.878467
0.4763, 0.4704, 0.5799, 1702255610.9771721
0.4919, 0.488 , 0.6492, 1702255611.0770228
0.4939, 0.4568, 0.6268, 1702255611.1768565
0.4802, 0.4831, 0.6092, 1702255611.2766714
0.49  , 0.4568, 0.6375, 1702255611.376912
0.4783, 0.4831, 0.5447, 1702255611.4767118
0.4861, 0.4577, 0.5642, 1702255611.5766914
0.491 , 0.4724, 0.6776, 1702255611.6766336
0.4783, 0.4695, 0.5584, 1702255611.7766924
0.4861, 0.4431, 0.6297, 1702255611.8766892
0.4744, 0.4734, 0.5809, 1702255611.9769938
0.49  , 0.4636, 0.6287, 1702255612.0770843
0.4792, 0.4753, 0.5672, 1702255612.1767144
0.488 , 0.4744, 0.53  , 1702255612.2768574
0.4871, 0.4675, 0.6414, 1702255612.376792
0.4773, 0.4968, 0.5867, 1702255612.476753
0.4851, 0.4646, 0.5564, 1702255612.5767314
0.4851, 0.4724, 0.6092, 1702255612.676673
0.4822, 0.4597, 0.66  , 1702255612.7767715
0.488 , 0.4597, 0.5613, 1702255612.8767507
0.4919, 0.4724, 0.6356, 1702255612.976664
0.4822, 0.4704, 0.5545, 1702255613.0766187
0.4812, 0.4675, 0.5525, 1702255613.1767142
0.4871, 0.4714, 0.6092, 1702255613.27673
0.4831, 0.4695, 0.5818, 1702255613.3768628
0.5017, 0.4382, 0.6336, 1702255613.476807
0.4812, 0.4568, 0.5848, 1702255613.577195
0.4831, 0.4871, 0.575 , 1702255613.676703
0.4939, 0.4792, 0.6707, 1702255613.7767327
0.4753, 0.4665, 0.5564, 1702255613.8767586
0.4831, 0.4949, 0.5799, 1702255613.9767082
0.488 , 0.4773, 0.5613, 1702255614.076766
0.4929, 0.4792, 0.6756, 1702255614.1767259
0.4792, 0.4734, 0.5379, 1702255614.2767289
0.488 , 0.4597, 0.6336, 1702255614.376816
0.4792, 0.4871, 0.5818, 1702255614.4768848
0.49  , 0.4773, 0.6141, 1702255614.5769467
0.4841, 0.4538, 0.617 , 1702255614.6768527
0.4685, 0.4949, 0.6453, 1702255614.7771916
0.4871, 0.4617, 0.5926, 1702255614.8766878
0.4841, 0.4685, 0.7391, 1702255614.9767313
0.4871, 0.4773, 0.7118, 1702255615.0767043
0.49  , 0.4968, 0.6492, 1702255615.176716
0.4812, 0.4919, 0.5183, 1702255615.276902
0.4919, 0.4675, 0.5711, 1702255615.376656
0.4851, 0.4548, 0.5955, 1702255615.4767036
0.4929, 0.4714, 0.6307, 1702255615.576672
0.4831, 0.4636, 0.5769, 1702255615.676902
0.4773, 0.4812, 0.5447, 1702255615.7769513
0.491 , 0.4665, 0.617 , 1702255615.8766596
0.4871, 0.4665, 0.5936, 1702255615.9771807
0.4919, 0.4724, 0.6082, 1702255616.0766232
0.4802, 0.4704, 0.575 , 1702255616.1768403
0.5027, 0.4783, 0.532 , 1702255616.2767453
0.4968, 0.4734, 0.5672, 1702255616.3767295
0.489 , 0.4675, 0.6092, 1702255616.476745
0.4802, 0.4656, 0.5945, 1702255616.5766902
0.4831, 0.4704, 0.6043, 1702255616.676689
0.4851, 0.4685, 0.5906, 1702255616.776681
0.4841, 0.4704, 0.5926, 1702255616.8768423
0.4851, 0.4714, 0.5916, 1702255616.976848
0.4861, 0.4714, 0.5916, 1702255617.0767899
0.4851, 0.4714, 0.5926, 1702255617.1768408
0.4851, 0.4714, 0.5916, 1702255617.2771106
0.4851, 0.4714, 0.5916, 1702255617.3767095
0.4851, 0.4704, 0.5926, 1702255617.4767892
0.4851, 0.4704, 0.5926, 1702255617.576736
0.4851, 0.4704, 0.5936, 1702255617.6767128
0.4851, 0.4704, 0.5936, 1702255617.7768152
0.4851, 0.4704, 0.5936, 1702255617.876667
0.4851, 0.4704, 0.5936, 1702255617.976701
0.4851, 0.4704, 0.5936, 1702255618.076768
0.4851, 0.4704, 0.5926, 1702255618.1768975
0.4851, 0.4704, 0.5936, 1702255618.2768967
0.4851, 0.4704, 0.5926, 1702255618.3767915
0.4851, 0.4704, 0.5926, 1702255618.477153
0.4841, 0.4704, 0.5926, 1702255618.5770307
0.4841, 0.4704, 0.5926, 1702255618.6775944
0.4851, 0.4704, 0.5926, 1702255618.776972
0.4841, 0.4704, 0.5936, 1702255618.8767433
0.4851, 0.4704, 0.5926, 1702255618.976704
0.4851, 0.4704, 0.5936, 1702255619.0766966
0.4841, 0.4724, 0.5916, 1702255619.1767433
0.4841, 0.4724, 0.5936, 1702255619.2766128
0.4851, 0.4704, 0.5926, 1702255619.3767061
0.4851, 0.4714, 0.5916, 1702255619.4770486
0.4851, 0.4714, 0.5936, 1702255619.5767858
0.4861, 0.4695, 0.5926, 1702255619.6767168
0.4851, 0.4636, 0.5955, 1702255619.7767124
0.4861, 0.4568, 0.6082, 1702255619.8767164
0.4919, 0.4548, 0.5955, 1702255619.9767919
0.4851, 0.4617, 0.5896, 1702255620.0766637
0.4841, 0.4597, 0.5769, 1702255620.1766696
0.4812, 0.4597, 0.5887, 1702255620.2767951
0.4773, 0.4646, 0.5857, 1702255620.3767068
0.4763, 0.4685, 0.5945, 1702255620.4767396
0.4802, 0.4724, 0.5936, 1702255620.5766692
0.4783, 0.4744, 0.5926, 1702255620.6767104
0.4783, 0.4783, 0.5867, 1702255620.7767448
0.4783, 0.4763, 0.5877, 1702255620.8778806
0.4783, 0.4773, 0.6014, 1702255620.9768744
0.4831, 0.4812, 0.5916, 1702255621.077158
0.4783, 0.4831, 0.5926, 1702255621.1767173
0.4822, 0.4861, 0.6033, 1702255621.276747
0.4724, 0.4949, 0.5642, 1702255621.3768795
0.489 , 0.4744, 0.5994, 1702255621.4766932
0.4851, 0.4665, 0.5916, 1702255621.5767403
0.4831, 0.4704, 0.5916, 1702255621.676653
0.4851, 0.4714, 0.5945, 1702255621.7767096
0.4841, 0.4704, 0.5945, 1702255621.8767674
0.4851, 0.4695, 0.5936, 1702255621.9766667
0.4851, 0.4695, 0.5936, 1702255622.0768604
0.4841, 0.4704, 0.5936, 1702255622.176969
0.4841, 0.4704, 0.5945, 1702255622.277103
0.4851, 0.4704, 0.5936, 1702255622.3766856
0.4851, 0.4704, 0.5936, 1702255622.4767668
0.4841, 0.4704, 0.5926, 1702255622.5766768
0.4851, 0.4704, 0.5926, 1702255622.676721
0.4851, 0.4704, 0.5926, 1702255622.7767403
0.4851, 0.4704, 0.5926, 1702255622.8767292
0.4851, 0.4704, 0.5926, 1702255622.9766645
0.4851, 0.4704, 0.5926, 1702255623.0767448
0.4851, 0.4704, 0.5945, 1702255623.17672
0.4851, 0.4704, 0.5945, 1702255623.276971
0.4851, 0.4704, 0.5936, 1702255623.376669
0.4851, 0.4704, 0.5936, 1702255623.477147
0.4851, 0.4704, 0.5936, 1702255623.5771642
0.4851, 0.4704, 0.5936, 1702255623.6767807
0.4851, 0.4704, 0.5936, 1702255623.776739
0.4851, 0.4704, 0.5936, 1702255623.8767157
0.4841, 0.4704, 0.5926, 1702255623.9767718
0.4841, 0.4704, 0.5926, 1702255624.0767615
0.4851, 0.4704, 0.5926, 1702255624.176685
0.4851, 0.4704, 0.5916, 1702255624.276739
0.4851, 0.4704, 0.5926, 1702255624.376815
