x,y,z,time
0.4841, 0.4714, 0.5936, 1702255311.2287023
0.4851, 0.4714, 0.5926, 1702255311.4096706
0.4851, 0.4704, 0.5936, 1702255311.428649
0.4851, 0.4714, 0.5926, 1702255311.5286386
0.4851, 0.4704, 0.5936, 1702255311.628692
0.4851, 0.4714, 0.5926, 1702255311.7287884
0.4851, 0.4714, 0.5936, 1702255311.828677
0.4851, 0.4714, 0.5926, 1702255311.928755
0.4851, 0.4714, 0.5936, 1702255312.028714
0.4851, 0.4704, 0.5926, 1702255312.1287384
0.4841, 0.4714, 0.5936, 1702255312.228985
0.4851, 0.4704, 0.5926, 1702255312.3287334
0.4851, 0.4714, 0.5936, 1702255312.4286518
0.4851, 0.4714, 0.5936, 1702255312.5287998
0.4851, 0.4714, 0.5936, 1702255312.628685
0.4841, 0.4714, 0.5936, 1702255312.7290776
0.4841, 0.4714, 0.5926, 1702255312.8291318
0.4841, 0.4714, 0.5936, 1702255312.9288573
0.4851, 0.4714, 0.5936, 1702255313.0381358
0.4851, 0.4704, 0.5926, 1702255313.1291747
0.4851, 0.4714, 0.5926, 1702255313.228729
0.4851, 0.4714, 0.5936, 1702255313.3287563
0.4841, 0.4714, 0.5926, 1702255313.4286993
0.4841, 0.4704, 0.5926, 1702255313.528825
0.4851, 0.4704, 0.5926, 1702255313.6286886
0.4851, 0.4714, 0.5936, 1702255313.729069
0.4851, 0.4714, 0.5936, 1702255313.8286862
0.4851, 0.4704, 0.5936, 1702255313.9289982
0.4851, 0.4714, 0.5926, 1702255314.0290585
0.4851, 0.4714, 0.5936, 1702255314.128557
0.4851, 0.4704, 0.5936, 1702255314.2286708
0.4851, 0.4714, 0.5936, 1702255314.3286066
0.4851, 0.4714, 0.5926, 1702255314.4286015
0.4841, 0.4714, 0.5936, 1702255314.5286546
0.4851, 0.4704, 0.5936, 1702255314.6285753
0.4841, 0.4714, 0.5926, 1702255314.7286003
0.4851, 0.4704, 0.5926, 1702255314.8286088
0.4851, 0.4714, 0.5926, 1702255314.928915
0.4851, 0.4714, 0.5936, 1702255315.0297596
0.4841, 0.4714, 0.5936, 1702255315.1285641
0.4841, 0.4714, 0.5936, 1702255315.2290392
0.4851, 0.4714, 0.5936, 1702255315.328918
0.4851, 0.4704, 0.5926, 1702255315.4287045
0.4841, 0.4704, 0.5936, 1702255315.5286262
0.4851, 0.4714, 0.5936, 1702255315.628636
0.4841, 0.4704, 0.5936, 1702255315.728651
0.4851, 0.4714, 0.5936, 1702255315.8285692
0.4958, 0.4773, 0.615 ,1702255315.928788
0.4792, 0.5007, 0.6141, 1702255316.028619
0.4939, 0.4607, 0.616 ,1702255316.1287801
0.4929, 0.4685, 0.6248, 1702255316.228795
0.5007, 0.4577, 0.5721, 1702255316.330528
0.489 , 0.4675, 0.5437, 1702255316.4285614
0.4851, 0.4744, 0.5838, 1702255316.5290806
0.4822, 0.4861, 0.6434, 1702255316.6285555
0.4714, 0.4675, 0.5525, 1702255316.728664
0.4773, 0.4685, 0.5506, 1702255316.8286064
0.4919, 0.4685, 0.6014, 1702255316.9286742
0.4871, 0.4763, 0.575 ,1702255317.0286071
0.4753, 0.4724, 0.5994, 1702255317.1286047
0.489 , 0.488 , 0.6815, 1702255317.2286093
0.491 , 0.4734, 0.6238, 1702255317.3285875
0.488 , 0.4783, 0.6981, 1702255317.4288123
0.4861, 0.4773, 0.5681, 1702255317.528981
0.4792, 0.4724, 0.5496, 1702255317.6286314
0.4871, 0.4548, 0.6043, 1702255317.729079
0.4802, 0.4636, 0.5916, 1702255317.8288412
0.488 , 0.4802, 0.6238, 1702255317.928745
0.4861, 0.4763, 0.6014, 1702255318.0286193
0.4802, 0.4695, 0.5457, 1702255318.1285877
0.4929, 0.4704, 0.7694, 1702255318.228538
0.4861, 0.4714, 0.6297, 1702255318.3286548
0.4978, 0.4519, 0.6258, 1702255318.4287086
0.4841, 0.4792, 0.6131, 1702255318.5286202
0.4763, 0.4802, 0.5779, 1702255318.6285694
0.489 , 0.4773, 0.6492, 1702255318.7287736
0.4763, 0.4744, 0.5271, 1702255318.8294442
0.4831, 0.4763, 0.5642, 1702255318.9285698
0.4841, 0.4734, 0.5467, 1702255319.0287538
0.4695, 0.4724, 0.5945, 1702255319.1287365
0.4822, 0.4763, 0.6365, 1702255319.2288039
0.488 , 0.4519, 0.6326, 1702255319.3287506
0.4822, 0.4665, 0.6082, 1702255319.4287362
0.4851, 0.4871, 0.5193, 1702255319.5287604
0.4812, 0.491 , 0.576 ,1702255319.6287255
0.4988, 0.4421, 0.6786, 1702255319.7287521
0.4773, 0.4792, 0.6014, 1702255319.8285847
0.4812, 0.4665, 0.5711, 1702255319.9288833
0.488 , 0.4646, 0.5515, 1702255320.0288327
0.4744, 0.4841, 0.5359, 1702255320.1286337
0.4919, 0.4753, 0.6395, 1702255320.2285616
0.4802, 0.4998, 0.6092, 1702255320.3286178
0.4773, 0.4284, 0.5906, 1702255320.4286923
0.488 , 0.4763, 0.6131, 1702255320.5286994
0.4763, 0.4704, 0.5545, 1702255320.6287456
0.4929, 0.4529, 0.5447, 1702255320.7285044
0.49  , 0.4783, 0.5838, 1702255320.8286636
0.4851, 0.4773, 0.5418, 1702255320.928605
0.4792, 0.4792, 0.5574, 1702255321.0286226
0.5066, 0.4519, 0.6688, 1702255321.128594
0.4802, 0.4646, 0.5955, 1702255321.2285686
0.4851, 0.4626, 0.5887, 1702255321.3287091
0.4753, 0.4724, 0.5222, 1702255321.429031
0.4949, 0.4656, 0.6317, 1702255321.5289412
0.4763, 0.4841, 0.5486, 1702255321.6287181
0.5037, 0.4685, 0.6082, 1702255321.7286105
0.488 , 0.4861, 0.6551, 1702255321.829069
0.5056, 0.4626, 0.6492, 1702255321.9287276
0.4822, 0.4529, 0.5828, 1702255322.0286274
0.4783, 0.4744, 0.5955, 1702255322.1287549
0.4851, 0.4675, 0.5926, 1702255322.2286031
0.4861, 0.4675, 0.5926, 1702255322.3286452
0.4851, 0.4714, 0.5936, 1702255322.428568
0.4851, 0.4704, 0.5926, 1702255322.5286286
0.4851, 0.4704, 0.5936, 1702255322.6287007
