x,y,z,time
0.4841, 0.4704, 0.5936, 1702255844.8477573
0.4851, 0.4704, 0.5936, 1702255844.9479342
0.4841, 0.4704, 0.5936, 1702255845.0480037
0.4841, 0.4704, 0.5936, 1702255845.1477816
0.4851, 0.4714, 0.5936, 1702255845.2480037
0.4851, 0.4714, 0.5945, 1702255845.3486998
0.4851, 0.4704, 0.5936, 1702255845.4477832
0.4841, 0.4714, 0.5936, 1702255845.5478284
0.4851, 0.4704, 0.5936, 1702255845.6477542
0.4851, 0.4704, 0.5936, 1702255845.7477207
0.4841, 0.4704, 0.5926, 1702255845.8477347
0.4851, 0.4704, 0.5936, 1702255845.9477663
0.4851, 0.4704, 0.5936, 1702255846.0477753
0.4851, 0.4704, 0.5936, 1702255846.1477027
0.4851, 0.4704, 0.5936, 1702255846.247935
0.4851, 0.4704, 0.5926, 1702255846.3478277
0.4851, 0.4714, 0.5896, 1702255846.4480712
0.4851, 0.4695, 0.5916, 1702255846.5482063
0.4841, 0.4704, 0.5926, 1702255846.647806
0.4851, 0.4704, 0.5936, 1702255846.747895
0.4841, 0.4704, 0.5936, 1702255846.8477921
0.4851, 0.4714, 0.5936, 1702255846.9477808
0.4851, 0.4704, 0.5936, 1702255847.0477903
0.4851, 0.4704, 0.5926, 1702255847.1476684
0.4841, 0.4704, 0.5936, 1702255847.2477403
0.4851, 0.4704, 0.5936, 1702255847.347737
0.4861, 0.4695, 0.5916, 1702255847.4479036
0.4851, 0.4685, 0.5936, 1702255847.547913
0.489 , 0.446 , 0.5936, 1702255847.6477678
0.4861, 0.447 , 0.5779, 1702255847.7482429
0.4675, 0.4177, 0.533 , 1702255847.848265
0.4919, 0.4724, 0.6209, 1702255847.9478395
0.4646, 0.4949, 0.6395, 1702255848.0477667
0.4636, 0.4753, 0.4099, 1702255848.1477835
0.4529, 0.4597, 0.5916, 1702255848.247763
0.4685, 0.4861, 0.5594, 1702255848.3477268
0.4841, 0.4587, 0.5867, 1702255848.4477556
0.4831, 0.4441, 0.4108, 1702255848.5477445
0.5027, 0.4792, 0.6199, 1702255848.6477306
0.4558, 0.4587, 0.7694, 1702255848.7479386
0.4558, 0.5291, 0.4343, 1702255848.8479414
0.5007, 0.4362, 0.5525, 1702255848.9481006
0.4831, 0.5809, 0.4587, 1702255849.0481465
0.4753, 0.489 , 0.8124, 1702255849.1478057
0.4724, 0.4939, 0.7509, 1702255849.2477975
0.4929, 0.489 , 0.6033, 1702255849.347813
0.4753, 0.5066, 0.6815, 1702255849.447787
0.4626, 0.4646, 0.4333, 1702255849.5477788
0.4871, 0.49  , 0.5486, 1702255849.6476915
0.5085, 0.4597, 0.7372, 1702255849.7477388
0.5017, 0.4431, 0.7313, 1702255849.8478076
0.4509, 0.4763, 0.448 , 1702255849.9478748
0.4822, 0.4411, 0.6649, 1702255850.0479228
0.491 , 0.5037, 0.4704, 1702255850.1478035
0.4656, 0.4665, 0.5906, 1702255850.248237
0.4577, 0.4783, 0.6952, 1702255850.347926
0.4831, 0.5134, 0.7362, 1702255850.4478002
0.4734, 0.5222, 0.4695, 1702255850.5478384
0.4968, 0.4753, 0.7596, 1702255850.6478117
0.5046, 0.446 , 0.7987, 1702255850.747737
0.4773, 0.4792, 0.4783, 1702255850.8477645
0.4822, 0.4831, 0.6961, 1702255850.9477909
0.4783, 0.4558, 0.5936, 1702255851.047757
0.4861, 0.488 , 0.789 , 1702255851.147695
0.5007, 0.4441, 0.659 , 1702255851.247972
0.5467, 0.5085, 0.6766, 1702255851.3477678
0.4763, 0.4831, 0.5037, 1702255851.4477777
0.4871, 0.4333, 0.6219, 1702255851.5480528
0.4617, 0.6063, 0.4294, 1702255851.6478348
0.5007, 0.4792, 0.5662, 1702255851.7477682
0.4861, 0.4587, 0.6277, 1702255851.8477597
0.4861, 0.445 , 0.448 , 1702255851.9477212
0.4861, 0.491 , 0.5515, 1702255852.0477731
0.4968, 0.4411, 0.4802, 1702255852.1477072
0.4753, 0.4675, 0.7596, 1702255852.2477317
0.489 , 0.4519, 0.5369, 1702255852.34779
0.491 , 0.4695, 0.5945, 1702255852.4479089
0.4792, 0.3815, 0.574 , 1702255852.5478895
0.4704, 0.4822, 0.4968, 1702255852.6477652
0.491 , 0.4646, 0.6317, 1702255852.7482314
0.491 , 0.4167, 0.5476, 1702255852.8482552
0.49  , 0.4675, 0.5164, 1702255852.9478114
0.4763, 0.4382, 0.5613, 1702255853.047831
0.4968, 0.4783, 0.704 , 1702255853.147733
0.4831, 0.4851, 0.4558, 1702255853.2477446
0.4685, 0.4831, 0.53  , 1702255853.3477361
0.447 , 0.4773, 0.5701, 1702255853.44774
0.4783, 0.4831, 0.576 , 1702255853.54779
0.4851, 0.4861, 0.5447, 1702255853.647719
0.4411, 0.4812, 0.6961, 1702255853.7478635
0.4958, 0.4919, 0.6102, 1702255853.847997
0.4939, 0.4861, 0.6805, 1702255853.9478266
0.5164, 0.4538, 0.6512, 1702255854.0481694
0.488 , 0.4988, 0.5906, 1702255854.1477778
0.5105, 0.4128, 0.5818, 1702255854.2478004
0.4831, 0.4812, 0.5594, 1702255854.3477888
0.4744, 0.4792, 0.5789, 1702255854.4477916
0.5007, 0.4704, 0.5594, 1702255854.5477571
0.4802, 0.5037, 0.5154, 1702255854.6477158
0.4822, 0.4763, 0.6277, 1702255854.747763
0.491 , 0.4646, 0.6063, 1702255854.8477652
0.4861, 0.4802, 0.6072, 1702255854.9479306
0.4851, 0.4812, 0.6014, 1702255855.047925
0.488 , 0.4792, 0.5838, 1702255855.1477473
0.489 , 0.4734, 0.6004, 1702255855.2482696
0.4871, 0.4695, 0.5975, 1702255855.3483133
0.4841, 0.4714, 0.5945, 1702255855.4478633
0.4851, 0.4704, 0.5945, 1702255855.5477452
0.4851, 0.4704, 0.5926, 1702255855.6477523
0.4841, 0.4704, 0.5936, 1702255855.747766
0.49  , 0.4685, 0.5926, 1702255855.8477404
0.4831, 0.4724, 0.5936, 1702255855.9477992
0.4841, 0.4714, 0.5926, 1702255856.0477884
0.4861, 0.4704, 0.5916, 1702255856.1477053
0.4851, 0.4714, 0.5926, 1702255856.2479112
0.4851, 0.4704, 0.5936, 1702255856.3477886
0.4851, 0.4714, 0.5936, 1702255856.4479666
0.4841, 0.4714, 0.5936, 1702255856.5480716
0.4851, 0.4714, 0.5926, 1702255856.6478207
0.4841, 0.4714, 0.5936, 1702255856.747844
0.4851, 0.4704, 0.5936, 1702255856.8477924
0.4851, 0.4714, 0.5936, 1702255856.9477751
0.4841, 0.4714, 0.5936, 1702255857.0477662
0.4851, 0.4714, 0.5936, 1702255857.1477027
0.4851, 0.4704, 0.5945, 1702255857.2477272
0.4851, 0.4704, 0.5936, 1702255857.3478076
0.4851, 0.4714, 0.5916, 1702255857.447961
0.4851, 0.4704, 0.5936, 1702255857.54806
0.4851, 0.4714, 0.5945, 1702255857.6478138
0.4851, 0.4724, 0.5994, 1702255857.748221
0.4861, 0.4724, 0.5936, 1702255857.848284
0.4851, 0.4704, 0.5916, 1702255857.947792
0.49  , 0.4656, 0.576 , 1702255858.0477703
0.4841, 0.4744, 0.5867, 1702255858.1477356
0.4841, 0.4704, 0.5926, 1702255858.2477322
0.4851, 0.4704, 0.5945, 1702255858.34782
0.4851, 0.4714, 0.5936, 1702255858.4477575
0.4851, 0.4714, 0.5936, 1702255858.547796
0.4851, 0.4704, 0.5926, 1702255858.648045
0.4851, 0.4714, 0.5926, 1702255858.7478309
0.4841, 0.4714, 0.5926, 1702255858.8477666
0.4851, 0.4704, 0.5926, 1702255858.9480758
0.4851, 0.4714, 0.5926, 1702255859.0481355
0.4851, 0.4704, 0.5936, 1702255859.1477706
0.4861, 0.4704, 0.5945, 1702255859.247757
0.4851, 0.4714, 0.5926, 1702255859.3478203
0.4851, 0.4704, 0.5936, 1702255859.4477713
0.4851, 0.4704, 0.5936, 1702255859.5477252
0.4851, 0.4704, 0.5936, 1702255859.6476905
0.4851, 0.4704, 0.5926, 1702255859.747776
